customer_id,order_date,order_value
1001,2024-01-15,45.00
1001,2024-03-02,62.50
1001,2024-06-18,38.75
1002,2024-01-20,30.00
1003,2024-02-05,120.00
1003,2024-02-28,95.50
1003,2024-05-14,110.25
1003,2024-08-30,88.00
1004,2024-01-10,55.00
1005,2024-03-11,72.30
1005,2024-07-22,68.90
1006,2024-01-25,29.99
1007,2024-02-14,150.00
1007,2024-04-01,142.75
1007,2024-06-19,160.50
1007,2024-09-03,138.00
1007,2024-11-27,155.25
1008,2024-03-08,42.00
1009,2024-01-30,85.00
1009,2024-04-17,91.50
1010,2024-02-19,60.00
1010,2024-05-05,58.75
1010,2024-08-12,64.20
1011,2024-01-05,25.00
1012,2024-03-22,200.00
1012,2024-06-08,185.50
1012,2024-10-14,210.00
1013,2024-02-01,35.50
1014,2024-04-09,48.00
1014,2024-07-25,52.30
1015,2024-01-18,99.00
